Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
HYPO-WOHN.WANDEL.16-27/17;93.150;0.00%0.000;02/28/202417:02:06;AT0000A1PN91;-;93.2001,000,000;94.700-;12/07/2027;q
HYPO-WOHN.WANDEL.16-27/7;94.550;-0.05%-0.050;02/28/202417:02:06;AT0000A1KKW0;-;94.6001,000,000;96.100-;03/30/2027;q
HYPO-WOHN.WANDEL.15-26/18;96.150;-0.05%-0.050;02/28/202417:02:06;AT0000A1H567;-;96.2001,000,000;97.200-;11/26/2026;q
HYPO-WOHN.WANDEL.16-27/16;96.100;0.00%0.000;02/28/202417:02:06;AT0000A1PN83;-;96.4509,000;97.650-;12/07/2027;q
HYPO-WOHN.WANDEL.16-27/6;96.150;0.00%0.000;02/28/202417:02:06;AT0000A1KAR1;-;96.4009,000;97.650-;03/08/2027;q
HYPO-WOHN.WANDEL.16-27/13;95.650;0.00%0.000;02/28/202417:02:06;AT0000A1MCE1;-;95.85019,000;97.1501,000;08/09/2027;q
HYPO-WOHN.WANDEL.16-27/5;96.000;0.00%0.000;02/28/202417:02:06;AT0000A1JWT3;-;96.0501,000,000;97.050-;02/22/2027;q
HYPO-WOHN.WANDEL.14-27/10;97.150;-0.05%-0.050;02/28/202417:02:05;AT0000A161B0;-;98.8007,000;98.700-;03/24/2027;q
HYPO-WOHN.WANDEL.14-26/22;94.400;-0.05%-0.050;02/28/202417:02:05;AT0000A1AK67;-;94.4001,000,000;95.400-;12/09/2026;q
HYPO-WOHN.WANDEL.15-27/13;95.850;0.00%0.000;02/28/202417:02:05;AT0000A1EZS9;-;96.1009,000;97.350-;07/08/2027;q
HYPO-WOHN.WANDEL.14-26/17;95.200;-0.05%-0.050;02/28/202417:02:05;AT0000A19SA7;-;95.2001,000,000;96.200-;10/27/2026;q
VbgLHB 4,5% NR SV 15-25;97.450;0.00%0.000;02/28/202417:02:05;AT0000A1GTF4;-;97.450-;99.450-;12/01/2025;q
HYPO-WOHN.WANDEL.15-26/17;98.400;0.00%0.000;02/28/202417:02:05;AT0000A1H559;-;98.4001,000,000;99.400-;11/26/2026;q
RLBStmk 0,35-0,6%StfzA.19-25/1;96.000;-0.21%-0.200;02/28/202414:15:21;AT000B093398;16,000;--;--;05/20/2025;P
