Name;Last;Chg.% 1D Chg.Abs.;DateTime;ISIN;Turnover Volume;Bid Volume;Ask Volume;Maturity;Status
RLBStmk 4,15% nrFixz.A16-26/17;97.000;-1.02%-1.000;03/11/202413:15:31;AT000B092895;2,000;--;--;07/27/2026;P
HWBB DYNAMIK WA OOe14-25/15;97.500;0.00%0.000;03/11/202413:00:29;AT0000A19RW3;40,000;--;--;09/24/2025;P
EGB 1,80% Anl. II 22-25/1751;96.450;-0.05%-0.050;03/11/202413:00:27;AT0000A2ZU32;2,000;--;--;09/05/2025;P
BKS 3% Nr. Obl. 20-30/3;91.300;0.00%0.000;03/11/202413:00:25;AT0000A2HL84;10,000;--;--;07/31/2030;P
BTV Kapitalschutzanl.19-26/9;110.770;+0.12%+0.130;03/11/202413:00:25;AT0000A28KA5;60,000;--;--;07/29/2026;P
BTV GMFL 22-28/9;96.660;+0.90%+0.860;03/11/202413:00:22;AT0000A2Z708;66,000;--;--;08/30/2028;P
BTV Stuzi Obl 22-27/8;95.610;+0.25%+0.240;03/11/202413:00:04;AT0000A2Z6W4;64,000;--;--;08/30/2027;P
RBI Inflations-Anl. 22-27/257;90.030;0.00%0.000;03/11/202413:00:04;AT000B015417;80,000;--;--;10/13/2027;P
21Shares AG EthereumETP/S.AETH;40.510;+1.28%+0.510;03/11/202409:57:37;CH0454664027;810;40.4701,000;40.5001,000;open-end;q
21Shares AG Bitcoin ETP/S.ABTC;22.380;+5.67%+1.200;03/11/202409:29:44;CH0454664001;20;22.5301,000;22.5401,000;open-end;q
HWBB MinMax-WA 19-30/11/Vbg/4;90.900;+0.11%+0.100;03/08/202416:27:47;AT0000A28FL2;-;90.8501,000,000;92.850-;09/11/2030;q
HWBB MiniMax WA Vbg.18-29/7;92.400;+0.11%+0.100;03/08/202416:27:46;AT0000A23GH9;-;92.3501,000,000;94.350-;12/10/2029;q
